case_id,specialty,model,llm_cost,phys_cost,excess,excess_pos,dvir,grok,shahar
MTS_0010,SOAP / Chart / Progress Notes,Grok 4.1,7.77,7.77,0.0,0.0,4,2,4
MTS_0010,SOAP / Chart / Progress Notes,OpenEvidence,15.53,7.77,7.76,7.76,4,1,4
MTS_0017,SOAP / Chart / Progress Notes,GPT-5.2,6.01,3.28,2.73,2.73,4,3,2
MTS_0017,SOAP / Chart / Progress Notes,Claude 4.5,0.0,3.28,-3.28,0.0,4,3,2
MTS_0017,SOAP / Chart / Progress Notes,Gemini 3,111.9,3.28,108.62,108.62,2,1,2
MTS_0017,SOAP / Chart / Progress Notes,Grok 4.1,126.92,3.28,123.64,123.64,3,1,2
MTS_0017,SOAP / Chart / Progress Notes,OpenEvidence,0.0,3.28,-3.28,0.0,4,2,1
MTS_0018,SOAP / Chart / Progress Notes,GPT-5.2,1501.84,215.1,1286.74,1286.74,2,2,3
MTS_0018,SOAP / Chart / Progress Notes,Claude 4.5,30.79,215.1,-184.31,0.0,3,3,2
MTS_0018,SOAP / Chart / Progress Notes,Gemini 3,211.23,215.1,-3.8700000000000045,0.0,4,4,3
MTS_0018,SOAP / Chart / Progress Notes,Grok 4.1,7.77,215.1,-207.32999999999998,0.0,2,2,3
MTS_0018,SOAP / Chart / Progress Notes,OpenEvidence,61.26,215.1,-153.84,0.0,3,2,3
MTS_0019,SOAP / Chart / Progress Notes,GPT-5.2,279.58,0.0,279.58,279.58,1,1,1
MTS_0019,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,1,2
MTS_0019,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,3,3
MTS_0019,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,2,1,3
MTS_0019,SOAP / Chart / Progress Notes,OpenEvidence,1009.71,0.0,1009.71,1009.71,2,4,2
MTS_0021,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,4,3,3
MTS_0021,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,4,4
MTS_0021,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,4,4
MTS_0021,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,4,4
MTS_0021,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,4,4
MTS_0022,SOAP / Chart / Progress Notes,GPT-5.2,30.85,0.0,30.85,30.85,3,2,2
MTS_0022,SOAP / Chart / Progress Notes,Claude 4.5,285.69,0.0,285.69,285.69,3,2,1
MTS_0022,SOAP / Chart / Progress Notes,Gemini 3,8.46,0.0,8.46,8.46,4,3,3
MTS_0022,SOAP / Chart / Progress Notes,Grok 4.1,8.46,0.0,8.46,8.46,3,3,2
MTS_0022,SOAP / Chart / Progress Notes,OpenEvidence,8.46,0.0,8.46,8.46,3,1,1
MTS_0023,SOAP / Chart / Progress Notes,GPT-5.2,82.28,25.47,56.81,56.81,3,1,4
MTS_0023,SOAP / Chart / Progress Notes,Claude 4.5,76.27,25.47,50.8,50.8,3,3,2
MTS_0023,SOAP / Chart / Progress Notes,Gemini 3,83.7,25.47,58.230000000000004,58.230000000000004,4,2,1
MTS_0023,SOAP / Chart / Progress Notes,Grok 4.1,84.04,25.47,58.57000000000001,58.57000000000001,4,1,2
MTS_0023,SOAP / Chart / Progress Notes,OpenEvidence,48.96,25.47,23.490000000000002,23.490000000000002,4,4,4
MTS_0024,SOAP / Chart / Progress Notes,GPT-5.2,94.22,10.02,84.2,84.2,3,1,1
MTS_0024,SOAP / Chart / Progress Notes,Claude 4.5,49.35,10.02,39.33,39.33,4,3,1
MTS_0024,SOAP / Chart / Progress Notes,Gemini 3,58.01,10.02,47.989999999999995,47.989999999999995,4,2,1
MTS_0024,SOAP / Chart / Progress Notes,Grok 4.1,45.67,10.02,35.650000000000006,35.650000000000006,4,2,1
MTS_0024,SOAP / Chart / Progress Notes,OpenEvidence,50.65,10.02,40.629999999999995,40.629999999999995,4,3,1
MTS_0025,SOAP / Chart / Progress Notes,GPT-5.2,67.81,0.0,67.81,67.81,2,2,2
MTS_0025,SOAP / Chart / Progress Notes,Claude 4.5,143.31,0.0,143.31,143.31,2,3,2
MTS_0025,SOAP / Chart / Progress Notes,Gemini 3,4.01,0.0,4.01,4.01,4,2,3
MTS_0025,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,2,1,2
MTS_0025,SOAP / Chart / Progress Notes,OpenEvidence,143.31,0.0,143.31,143.31,2,3,2
MTS_0026,SOAP / Chart / Progress Notes,GPT-5.2,14.36,764.88,-750.52,0.0,4,3,2
MTS_0026,SOAP / Chart / Progress Notes,Claude 4.5,0.0,764.88,-764.88,0.0,4,4,2
MTS_0026,SOAP / Chart / Progress Notes,Gemini 3,0.0,764.88,-764.88,0.0,4,4,2
MTS_0026,SOAP / Chart / Progress Notes,Grok 4.1,0.0,764.88,-764.88,0.0,2,1,2
MTS_0026,SOAP / Chart / Progress Notes,OpenEvidence,0.0,764.88,-764.88,0.0,4,3,2
MTS_0027,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,4,4,2
MTS_0027,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,2,3
MTS_0027,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,2,3
MTS_0027,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,1,1
MTS_0027,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,3,3
MTS_0028,SOAP / Chart / Progress Notes,GPT-5.2,59.64,0.0,59.64,59.64,3,2,3
MTS_0028,SOAP / Chart / Progress Notes,Claude 4.5,57.7,0.0,57.7,57.7,4,3,3
MTS_0028,SOAP / Chart / Progress Notes,Gemini 3,18.33,0.0,18.33,18.33,3,3,2
MTS_0028,SOAP / Chart / Progress Notes,Grok 4.1,62.77,0.0,62.77,62.77,4,2,2
MTS_0028,SOAP / Chart / Progress Notes,OpenEvidence,90.06,0.0,90.06,90.06,3,1,2
MTS_0035,SOAP / Chart / Progress Notes,GPT-5.2,314.61,0.0,314.61,314.61,3,2,1
MTS_0035,SOAP / Chart / Progress Notes,Claude 4.5,488.43,0.0,488.43,488.43,3,1,1
MTS_0035,SOAP / Chart / Progress Notes,Gemini 3,260.12,0.0,260.12,260.12,3,3,2
MTS_0035,SOAP / Chart / Progress Notes,Grok 4.1,46.28,0.0,46.28,46.28,2,1,1
MTS_0035,SOAP / Chart / Progress Notes,OpenEvidence,278.34,0.0,278.34,278.34,3,4,1
MTS_0037,SOAP / Chart / Progress Notes,GPT-5.2,124.53,81.54,42.989999999999995,42.989999999999995,2,1,1
MTS_0037,SOAP / Chart / Progress Notes,Claude 4.5,207.5,86.62,120.88,120.88,3,2,3
MTS_0037,SOAP / Chart / Progress Notes,Gemini 3,254.41,80.78,173.63,173.63,3,3,3
MTS_0037,SOAP / Chart / Progress Notes,Grok 4.1,249.69,86.62,163.07,163.07,3,3,3
MTS_0037,SOAP / Chart / Progress Notes,OpenEvidence,387.36,86.62,300.74,300.74,2,2,2
MTS_0041,SOAP / Chart / Progress Notes,GPT-5.2,117.66,42.09,75.57,75.57,3,3,3
MTS_0041,SOAP / Chart / Progress Notes,Claude 4.5,95.3,42.09,53.209999999999994,53.209999999999994,3,3,3
MTS_0041,SOAP / Chart / Progress Notes,Gemini 3,56.16,42.09,14.069999999999993,14.069999999999993,3,2,3
MTS_0041,SOAP / Chart / Progress Notes,Grok 4.1,21.31,42.09,-20.780000000000005,0.0,2,2,2
MTS_0041,SOAP / Chart / Progress Notes,OpenEvidence,177.02,42.09,134.93,134.93,2,4,2
MTS_0042,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,4,3,2
MTS_0042,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,3,1
MTS_0042,SOAP / Chart / Progress Notes,Gemini 3,28.72,0.0,28.72,28.72,3,1,2
MTS_0042,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,2,3
MTS_0042,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,1,1
MTS_0043,SOAP / Chart / Progress Notes,GPT-5.2,121.69,156.64,-34.94999999999999,0.0,3,1,3
MTS_0043,SOAP / Chart / Progress Notes,Claude 4.5,157.53,156.64,0.8900000000000148,0.8900000000000148,4,4,4
MTS_0043,SOAP / Chart / Progress Notes,Gemini 3,0.0,156.64,-156.64,0.0,4,3,3
MTS_0043,SOAP / Chart / Progress Notes,Grok 4.1,186.1,156.64,29.460000000000008,29.460000000000008,3,2,2
MTS_0043,SOAP / Chart / Progress Notes,OpenEvidence,188.72,156.64,32.08000000000001,32.08000000000001,3,2,2
MTS_0050,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,4,4,4
MTS_0050,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,1,1
MTS_0050,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,3,4
MTS_0050,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,3,4
MTS_0050,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,3,4
MTS_0052,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,4,2,3
MTS_0052,SOAP / Chart / Progress Notes,Claude 4.5,117.24,0.0,117.24,117.24,3,4,3
MTS_0052,SOAP / Chart / Progress Notes,Gemini 3,34.4,0.0,34.4,34.4,3,1,2
MTS_0052,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,3,3
MTS_0052,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,3,3,2
MTS_0059,SOAP / Chart / Progress Notes,GPT-5.2,336.66,0.0,336.66,336.66,4,4,4
MTS_0059,SOAP / Chart / Progress Notes,Claude 4.5,177.02,0.0,177.02,177.02,4,3,4
MTS_0059,SOAP / Chart / Progress Notes,Gemini 3,59.14,0.0,59.14,59.14,3,2,3
MTS_0059,SOAP / Chart / Progress Notes,Grok 4.1,132.68,0.0,132.68,132.68,3,2,3
MTS_0059,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,2,1,1
MTS_0060,SOAP / Chart / Progress Notes,GPT-5.2,55.11,13.28,41.83,41.83,3,3,4
MTS_0060,SOAP / Chart / Progress Notes,Claude 4.5,95.26,13.28,81.98,81.98,3,4,3
MTS_0060,SOAP / Chart / Progress Notes,Gemini 3,50.66,13.28,37.379999999999995,37.379999999999995,4,3,4
MTS_0060,SOAP / Chart / Progress Notes,Grok 4.1,50.11,13.28,36.83,36.83,2,2,2
MTS_0060,SOAP / Chart / Progress Notes,OpenEvidence,73.61,13.28,60.33,60.33,3,3,4
MTS_0062,SOAP / Chart / Progress Notes,GPT-5.2,76.35,0.0,76.35,76.35,3,1,3
MTS_0062,SOAP / Chart / Progress Notes,Claude 4.5,60.8,0.0,60.8,60.8,4,3,3
MTS_0062,SOAP / Chart / Progress Notes,Gemini 3,13.54,0.0,13.54,13.54,4,4,4
MTS_0062,SOAP / Chart / Progress Notes,Grok 4.1,113.83,0.0,113.83,113.83,1,1,2
MTS_0062,SOAP / Chart / Progress Notes,OpenEvidence,50.5,0.0,50.5,50.5,4,3,4
MTS_0068,SOAP / Chart / Progress Notes,GPT-5.2,72.17,33.66,38.510000000000005,38.510000000000005,4,3,4
MTS_0068,SOAP / Chart / Progress Notes,Claude 4.5,69.92,33.66,36.260000000000005,36.260000000000005,4,3,4
MTS_0068,SOAP / Chart / Progress Notes,Gemini 3,65.44,33.66,31.78,31.78,4,4,3
MTS_0068,SOAP / Chart / Progress Notes,Grok 4.1,52.88,33.66,19.220000000000006,19.220000000000006,2,2,3
MTS_0068,SOAP / Chart / Progress Notes,OpenEvidence,20.6,33.66,-13.059999999999995,0.0,4,4,4
MTS_0072,SOAP / Chart / Progress Notes,GPT-5.2,514.61,64.13,450.48,450.48,2,1,2
MTS_0072,SOAP / Chart / Progress Notes,Claude 4.5,184.04,64.13,119.91,119.91,4,3,3
MTS_0072,SOAP / Chart / Progress Notes,Gemini 3,184.04,64.13,119.91,119.91,4,2,4
MTS_0072,SOAP / Chart / Progress Notes,Grok 4.1,184.04,64.13,119.91,119.91,3,2,2
MTS_0072,SOAP / Chart / Progress Notes,OpenEvidence,379.77,64.13,315.64,315.64,4,4,3
MTS_0077,SOAP / Chart / Progress Notes,GPT-5.2,104.82,50.16,54.66,54.66,3,1,2
MTS_0077,SOAP / Chart / Progress Notes,Claude 4.5,50.11,50.16,-0.04999999999999716,0.0,4,2,3
MTS_0077,SOAP / Chart / Progress Notes,Gemini 3,31.61,50.16,-18.549999999999997,0.0,4,3,4
MTS_0077,SOAP / Chart / Progress Notes,Grok 4.1,119.68,50.16,69.52000000000001,69.52000000000001,3,2,3
MTS_0077,SOAP / Chart / Progress Notes,OpenEvidence,84.38,50.16,34.22,34.22,4,2,3
MTS_0078,SOAP / Chart / Progress Notes,GPT-5.2,59.01,0.0,59.01,59.01,4,3,3
MTS_0078,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,3,4,3
MTS_0078,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,3,4,4
MTS_0078,SOAP / Chart / Progress Notes,Grok 4.1,103.41,0.0,103.41,103.41,4,2,1
MTS_0078,SOAP / Chart / Progress Notes,OpenEvidence,105.72,0.0,105.72,105.72,3,1,3
MTS_0081,SOAP / Chart / Progress Notes,GPT-5.2,297.59,0.0,297.59,297.59,2,2,2
MTS_0081,SOAP / Chart / Progress Notes,Claude 4.5,57.22,0.0,57.22,57.22,2,3,2
MTS_0081,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,4,3
MTS_0081,SOAP / Chart / Progress Notes,Grok 4.1,48.52,0.0,48.52,48.52,3,3,3
MTS_0081,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,3,2
MTS_0082,SOAP / Chart / Progress Notes,GPT-5.2,238.12,0.0,238.12,238.12,2,1,3
MTS_0082,SOAP / Chart / Progress Notes,Claude 4.5,205.21,0.0,205.21,205.21,2,2,4
MTS_0082,SOAP / Chart / Progress Notes,Gemini 3,113.57,0.0,113.57,113.57,2,3,3
MTS_0082,SOAP / Chart / Progress Notes,Grok 4.1,19.86,0.0,19.86,19.86,1,2,2
MTS_0082,SOAP / Chart / Progress Notes,OpenEvidence,131.86,0.0,131.86,131.86,2,1,3
MTS_0083,SOAP / Chart / Progress Notes,GPT-5.2,850.14,0.0,850.14,850.14,1,1,3
MTS_0083,SOAP / Chart / Progress Notes,Claude 4.5,7.77,0.0,7.77,7.77,4,4,4
MTS_0083,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,3,2,3
MTS_0083,SOAP / Chart / Progress Notes,Grok 4.1,194.48,0.0,194.48,194.48,2,3,4
MTS_0083,SOAP / Chart / Progress Notes,OpenEvidence,18.94,0.0,18.94,18.94,2,2,2
MTS_0084,SOAP / Chart / Progress Notes,GPT-5.2,329.89,0.0,329.89,329.89,1,1,2
MTS_0084,SOAP / Chart / Progress Notes,Claude 4.5,70.63,0.0,70.63,70.63,4,3,4
MTS_0084,SOAP / Chart / Progress Notes,Gemini 3,60.62,0.0,60.62,60.62,4,3,4
MTS_0084,SOAP / Chart / Progress Notes,Grok 4.1,84.43,0.0,84.43,84.43,3,2,3
MTS_0084,SOAP / Chart / Progress Notes,OpenEvidence,7.77,0.0,7.77,7.77,3,2,4
MTS_0085,SOAP / Chart / Progress Notes,GPT-5.2,39.44,10.56,28.879999999999995,28.879999999999995,4,4,4
MTS_0085,SOAP / Chart / Progress Notes,Claude 4.5,55.64,10.56,45.08,45.08,4,3,3
MTS_0085,SOAP / Chart / Progress Notes,Gemini 3,9.71,10.56,-0.8499999999999996,0.0,4,3,3
MTS_0085,SOAP / Chart / Progress Notes,Grok 4.1,38.84,10.56,28.28,28.28,4,2,4
MTS_0085,SOAP / Chart / Progress Notes,OpenEvidence,54.15,10.56,43.589999999999996,43.589999999999996,2,4,2
MTS_0091,SOAP / Chart / Progress Notes,GPT-5.2,453.63,202.37,251.26,251.26,3,2,3
MTS_0091,SOAP / Chart / Progress Notes,Claude 4.5,648.26,202.37,445.89,445.89,3,1,3
MTS_0091,SOAP / Chart / Progress Notes,Gemini 3,408.68,202.37,206.31,206.31,3,2,3
MTS_0091,SOAP / Chart / Progress Notes,Grok 4.1,422.32,202.37,219.95,219.95,3,2,2
MTS_0091,SOAP / Chart / Progress Notes,OpenEvidence,458.86,202.37,256.49,256.49,2,1,2
MTS_0093,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,2,2,1
MTS_0093,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,3,3,2
MTS_0093,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,2,2,2
MTS_0093,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,3,3,2
MTS_0093,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,3,2,3
MTS_0094,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,4,3,3
MTS_0094,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,4,4
MTS_0094,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,4,4
MTS_0094,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,3,4
MTS_0094,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,3,3
MTS_0095,SOAP / Chart / Progress Notes,GPT-5.2,184.58,36.65,147.93,147.93,3,2,3
MTS_0095,SOAP / Chart / Progress Notes,Claude 4.5,546.52,36.65,509.87,509.87,4,1,4
MTS_0095,SOAP / Chart / Progress Notes,Gemini 3,175.47,36.65,138.82,138.82,4,3,3
MTS_0095,SOAP / Chart / Progress Notes,Grok 4.1,157.05,36.65,120.4,120.4,3,2,2
MTS_0095,SOAP / Chart / Progress Notes,OpenEvidence,187.86,36.65,151.21,151.21,4,3,3
MTS_0097,SOAP / Chart / Progress Notes,GPT-5.2,56.87,140.62,-83.75,0.0,2,1,3
MTS_0097,SOAP / Chart / Progress Notes,Claude 4.5,16.23,140.62,-124.39,0.0,4,4,3
MTS_0097,SOAP / Chart / Progress Notes,Gemini 3,24.1,140.62,-116.52000000000001,0.0,4,3,3
MTS_0097,SOAP / Chart / Progress Notes,Grok 4.1,521.83,140.62,381.21000000000004,381.21000000000004,1,1,1
MTS_0097,SOAP / Chart / Progress Notes,OpenEvidence,0.0,140.62,-140.62,0.0,3,4,3
MTS_0098,SOAP / Chart / Progress Notes,GPT-5.2,96.11,7.77,88.34,88.34,2,3,4
MTS_0098,SOAP / Chart / Progress Notes,Claude 4.5,74.75,7.77,66.98,66.98,2,2,4
MTS_0098,SOAP / Chart / Progress Notes,Gemini 3,28.14,7.77,20.37,20.37,3,3,3
MTS_0098,SOAP / Chart / Progress Notes,Grok 4.1,330.26,7.77,322.49,322.49,1,1,2
MTS_0098,SOAP / Chart / Progress Notes,OpenEvidence,150.84,7.77,143.07,143.07,3,3,2
MTS_0100,SOAP / Chart / Progress Notes,GPT-5.2,427.8,383.28,44.52000000000004,44.52000000000004,3,2,3
MTS_0100,SOAP / Chart / Progress Notes,Claude 4.5,421.78,383.28,38.5,38.5,3,2,3
MTS_0100,SOAP / Chart / Progress Notes,Gemini 3,113.75,383.28,-269.53,0.0,4,4,2
MTS_0100,SOAP / Chart / Progress Notes,Grok 4.1,307.08,5.18,301.9,301.9,3,2,3
MTS_0100,SOAP / Chart / Progress Notes,OpenEvidence,118.66,5.18,113.47999999999999,113.47999999999999,4,3,1
MTS_0102,SOAP / Chart / Progress Notes,GPT-5.2,132.94,0.0,132.94,132.94,2,2,3
MTS_0102,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,3,3,3
MTS_0102,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,3,3
MTS_0102,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,2,1,2
MTS_0102,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,3,2,3
MTS_0103,SOAP / Chart / Progress Notes,GPT-5.2,95.8,0.0,95.8,95.8,4,3,3
MTS_0103,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,2,3
MTS_0103,SOAP / Chart / Progress Notes,Gemini 3,33.07,0.0,33.07,33.07,4,1,3
MTS_0103,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,3,3
MTS_0103,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,4,3
MTS_0106,SOAP / Chart / Progress Notes,GPT-5.2,169.85,289.18,-119.33000000000001,0.0,4,2,3
MTS_0106,SOAP / Chart / Progress Notes,Claude 4.5,159.92,289.18,-129.26000000000002,0.0,4,3,3
MTS_0106,SOAP / Chart / Progress Notes,Gemini 3,159.92,289.18,-129.26000000000002,0.0,3,2,3
MTS_0106,SOAP / Chart / Progress Notes,Grok 4.1,159.97,289.18,-129.21,0.0,4,2,3
MTS_0106,SOAP / Chart / Progress Notes,OpenEvidence,149.36,289.18,-139.82,0.0,4,3,3
MTS_0108,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,3,1,3
MTS_0108,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,2,3
MTS_0108,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,2,2
MTS_0108,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,1,1,2
MTS_0108,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,3,3
MTS_0109,SOAP / Chart / Progress Notes,GPT-5.2,216.02,0.0,216.02,216.02,4,1,4
MTS_0109,SOAP / Chart / Progress Notes,Claude 4.5,1716.67,0.0,1716.67,1716.67,4,2,3
MTS_0109,SOAP / Chart / Progress Notes,Gemini 3,1618.27,0.0,1618.27,1618.27,4,3,3
MTS_0109,SOAP / Chart / Progress Notes,Grok 4.1,64.24,0.0,64.24,64.24,4,4,4
MTS_0109,SOAP / Chart / Progress Notes,OpenEvidence,22.85,0.0,22.85,22.85,4,3,4
MTS_0112,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,3,1,2
MTS_0112,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,2,3
MTS_0112,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,4,3
MTS_0112,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,2,3
MTS_0112,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,3,3
MTS_0113,SOAP / Chart / Progress Notes,GPT-5.2,42.12,0.0,42.12,42.12,3,2,3
MTS_0113,SOAP / Chart / Progress Notes,Claude 4.5,21.85,0.0,21.85,21.85,4,3,3
MTS_0113,SOAP / Chart / Progress Notes,Gemini 3,33.66,0.0,33.66,33.66,4,2,3
MTS_0113,SOAP / Chart / Progress Notes,Grok 4.1,33.66,0.0,33.66,33.66,4,3,3
MTS_0113,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,4,3
MTS_0117,SOAP / Chart / Progress Notes,GPT-5.2,31.88,22.86,9.02,9.02,4,3,3
MTS_0117,SOAP / Chart / Progress Notes,Claude 4.5,22.1,22.86,-0.759999999999998,0.0,4,1,3
MTS_0117,SOAP / Chart / Progress Notes,Gemini 3,22.86,22.86,0.0,0.0,4,4,3
